Name: Han Solo, Affiliation: Rebel alliance, Weapon: Blaster, Force sensitive: No, Planet: Corellia, Species: Human, Died: 34, Occupation: Smuggler, Appeared in: A new hope/ Empire strikes back/ Return of the jedi/The force awakens
Name: Leia Organa, Affiliation: Rebel alliance, Weapon: Blaster, Force sensitive: Yes, Planet: Alderaan, Species: Human, Died: 35, Occupation: Senator, Appeared in: A new hope/ Empire strikes back/ Return of the jedi
Name: Luke Skywalker, Affiliation: Rebel alliance, Weapon: Lightsaber, Force sensitive: Yes, Planet: Tattoine, Species: Human, Died: 34, Occupation: Jedi, Appeared in: A new hope/ Empire strikes back/ Return of the jedi/ The last jedi/ The mandalorian
Name: Darth Vader, Affiliation: Galactic Empire, Weapon: Lightsaber, Force sensitive: Yes, Planet: Tattoine, Species: Human, Died: 4, Occupation: Sith, Appeared in: A new hope/ Empire strikes back/ Return of the jedi/ Revenge of the sith
Name: Count Dooku, Affiliation: Seperatist, Weapon: Lightsaber, Force sensitive: Yes, Planet: Serenno, Species: Human, Died: -19, Occupation: Sith, Appeared in: Attack of the clones/ The clone wars
Name: Padme, Affiliation: Galactic Republic, Weapon: Blaster, Force sensitive: No, Planet: Naboo, Species: Human, Died: -19, Occupation: Senator, Appeared in: The phantom menace/ Attack of the clones/ Revenge of the sith/ The clone wars
Name: Jar Jar Binks, Affiliation: Galactic Republic, Weapon: None, Force sensitive: No, Planet: Naboo, Species: Gungan, Died: Alive, Occupation: Nothing, Appeared in: The phantom menace/ Attack of the clones/ Revenge of the sith/ The clone wars
Name: Tarkin, Affiliation: Galactic Empire, Weapon: Blaster, Force sensitive: No, Planet: Eriadu, Species: Human, Died: 0, Occupation: Military, Appeared in: Revenge of the sith/ A new hope/ Rogue one/ The clone wars
Name: Chewbacca, Affiliation: Rebel alliance, Weapon: Blaster, Force sensitive: No, Planet: Kashykk, Species: Wookie, Died: Alive, Occupation: Smuggler, Appeared in: Revenge of the sith/ A new hope/ Empire strikes back/ Return of the jedi/ The force awakens/ The last jedi/ The rise of skywalker/ The clone wars
Name: R2-D2, Affiliation: Rebel Alliance, Weapon: None, Force sensitive: No, Planet: Tattoine, Species: Droid, Died: Alive, Occupation: Droid, Appeared in: The phantom menace/ Attack of the clones/ Revenge of the sith/ A new hope/ Empire strikes back/ Return of the jedi/ The force awakens/ The last jedi/ The rise of skywalker/ The clone wars
Name: Qui gon, Affiliation: Galactic Republic, Weapon: Lightsaber, Force sensitive: Yes, Planet: Corruscant, Species: Human, Died: -32, Occupation: Jedi, Appeared in: The phantom menace
Name: Thrawn, Affiliation: Galactic Empire, Weapon: None, Force sensitive: No, Planet: Chiss, Species: Chiss, Died: Alive, Occupation: Military, Appeared in: Ahsoka/ Rebels
Name: Savage Opress, Affiliation: None, Weapon: Lightsaber, Force sensitive: Yes, Planet: Dathomir, Species: Zabrak, Died: -19, Occupation: Sith, Appeared in: The clone wars
Name: Asaaj Ventress, Affiliation: Seperatist, Weapon: Lightsaber, Force sensitive: Yes, Planet: Dathomir, Species: Nightsister, Died: -19, Occupation: Sith, Appeared in: The clone wars
Name: Mother Talzin, Affiliation: None, Weapon: Magic, Force sensitive: Yes, Planet: Dathomir, Species: Nightsister, Died: -20, Occupation: Nightsister, Appeared in: The clone wars
